date,nav,scheme_code,scheme_name,fund_house,scheme_category,normalized
2013-01-02,103.0059,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.0
2013-01-03,103.0306,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.02397920895795
2013-01-04,103.0619,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.05436581788032
2013-01-07,103.1408,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.13096337200102
2013-01-08,103.1663,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.15571923550011
2013-01-09,103.1897,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.17843638082867
2013-01-10,103.2132,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.20125060797488
2013-01-11,103.2385,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.22581230783868
2013-01-14,103.3225,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.30736103465918
2013-01-15,102.9223,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,99.91883960045008
2013-01-16,102.9421,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,99.93806180034348
2013-01-17,102.9691,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,99.96427389110721
2013-01-18,102.9932,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,99.98767060915928
2013-01-21,103.0662,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.058540336039
2013-01-22,103.0909,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.08251954499694
2013-01-23,103.1145,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,100.1054308539608
